Date,BHP.AX,WOW.AX,WES.AX,TLS.AX,COH.AX,RIO.AX,CPU.AX,WBC.AX
2010-01-04,21.83927345275879,17.90350914001465,11.145973205566406,1.816208004951477,51.2110595703125,47.695762634277344,8.072418212890625,13.378514289855955
2010-01-05,21.94067001342773,17.79531478881836,11.29216480255127,1.810943841934204,49.80089569091797,48.60613632202149,7.988406181335449,13.4895601272583
2010-01-06,22.21441650390625,17.76349449157715,11.12458324432373,1.7793575525283811,49.93449783325195,50.02579879760742,7.94639778137207,13.426105499267578
2010-01-07,22.18906593322754,17.725305557250977,10.946303367614746,1.7477710247039795,49.3555793762207,50.29317855834961,7.911393165588379,13.24631690979004
2010-01-08,22.1130313873291,17.878053665161133,11.21728801727295,1.7793575525283811,49.28878402709961,50.299560546875,8.058414459228516,13.299196243286133
2010-01-11,22.543928146362305,17.82077980041504,11.24937629699707,1.7635643482208252,49.15519332885742,50.92980194091797,8.191438674926758,13.315059661865234
2010-01-12,22.047119140625,17.687124252319336,11.195894241333008,1.7425066232681274,48.687618255615234,49.8921127319336,8.184438705444336,13.315059661865234
2010-01-13,21.859554290771484,17.76349449157715,11.08892822265625,1.758299469947815,48.61339569091797,49.096336364746094,8.156434059143066,13.272754669189451
2010-01-14,22.194141387939453,17.90350914001465,11.060401916503906,1.7635643482208252,48.67276763916016,50.38867568969727,8.268454551696777,13.42081356048584
2010-01-15,22.12823867797852,17.782590866088867,11.071097373962402,1.753035545349121,48.37590026855469,50.0512809753418,8.184438705444336,13.484270095825195
2010-01-18,22.02178192138672,17.706214904785156,10.957003593444824,1.7740927934646606,47.20323944091797,49.86027526855469,8.02341079711914,13.753957748413086
2010-01-19,21.955869674682617,17.502546310424805,10.917780876159668,1.753035545349121,48.23488235473633,49.62473678588867,8.681524276733398,13.590028762817385
2010-01-20,22.006576538085938,17.508913040161133,10.9356050491333,1.7635643482208252,48.724727630615234,49.68202590942383,8.576506614685059,13.473697662353516
2010-01-21,21.631431579589844,17.502546310424805,10.778722763061523,1.7898859977722168,47.81925964355469,48.09683609008789,8.471489906311035,13.542438507080078
2010-01-22,21.13969612121582,17.502546310424805,10.47208309173584,1.7740927934646606,48.5391731262207,46.43525695800781,8.366469383239746,13.42081356048584
2010-01-25,20.91156578063965,17.489816665649414,10.411468505859377,1.816208004951477,49.41496276855469,46.68990707397461,8.338465690612793,13.177571296691896
2010-01-27,20.429967880249023,17.05702781677246,10.21536350250244,1.805679440498352,47.537227630615234,44.49991989135742,8.331463813781738,12.865582466125488
2010-01-28,20.63274574279785,16.668787002563477,10.07274055480957,1.800415277481079,47.6485481262207,45.48032760620117,8.331463813781738,12.997779846191406
2010-01-29,19.973711013793945,16.458759307861328,9.808886528015137,1.758299469947815,46.238380432128906,43.29033660888672,8.128427505493164,12.617047309875488
2010-02-01,19.872323989868164,16.23600196838379,9.72687816619873,1.7477710247039795,46.25323867797852,42.91473388671875,8.156434059143066,12.442546844482422
2010-02-02,20.51107788085937,16.33146858215332,9.74827480316162,1.7793575525283811,46.386837005615234,45.20657730102539,8.156434059143066,12.479562759399414
2010-02-03,21.038299560546875,16.318740844726562,9.734007835388184,1.7740927934646606,46.29776763916016,45.83683776855469,8.247448921203613,12.410820960998535
2010-02-04,20.779760360717773,16.401479721069336,9.82315158843994,1.800415277481079,46.16416931152344,44.63998031616211,8.296460151672363,12.23102569580078
2010-02-05,20.04974937438965,16.33783721923828,9.69122314453125,1.7846219539642334,45.52588653564453,42.39905548095703,8.296460151672363,11.956056594848633
2010-02-08,20.07509994506836,16.24236488342285,9.73757553100586,1.768828511238098,45.56299591064453,42.768310546875,8.282455444335938,12.294483184814451
2010-02-09,20.20184135437012,16.108705520629883,9.8873291015625,1.7635643482208252,47.16612243652344,42.6473503112793,8.366469383239746,12.09882926940918
2010-02-10,20.2170467376709,16.229637145996094,9.947945594787598,1.7846219539642334,47.5743293762207,43.25214385986328,8.212446212768555,12.024798393249512
2010-02-11,20.455310821533203,16.15325927734375,10.09413242340088,1.6951279640197754,47.2403450012207,44.38533401489258,8.212446212768555,12.146418571472168
2010-02-12,20.69357681274414,16.261457443237305,10.350854873657228,1.642483472824097,46.60948181152344,45.79863739013672,8.40147590637207,12.268046379089355
2010-02-15,20.61246681213379,16.376018524169922,10.432863235473633,1.65301251411438,46.9063606262207,44.92645263671875,8.366469383239746,12.320924758911133
2010-02-16,20.55670166015625,16.350561141967773,10.536263465881348,1.631954789161682,46.43135833740234,44.932838439941406,8.393834114074707,13.082385063171388
2010-02-17,20.98253631591797,16.624237060546875,10.571919441223145,1.631954789161682,46.59464263916016,46.42251968383789,8.535499572753906,13.44725513458252
2010-02-18,20.749340057373047,16.586050033569336,10.910649299621582,1.647748351097107,47.13644409179688,45.90049362182617,8.599252700805664,13.426105499267578
2010-02-19,20.78482818603516,16.433300018310547,11.12458324432373,1.663541316986084,47.5743293762207,45.20019912719727,8.422164916992188,13.463119506835938
2010-02-22,21.372882843017575,16.573320388793945,11.556015968322754,1.6580326557159424,48.32014846801758,46.16151428222656,8.521333694458008,13.81212329864502
2010-02-23,21.347543716430664,16.5414981842041,11.746988296508787,1.6525243520736694,48.51602554321289,46.314300537109375,8.429248809814453,13.939037322998049
2010-02-24,20.723995208740234,16.452394485473633,11.597228050231934,1.63049054145813,48.38042068481445,45.13814163208008,8.450498580932617,13.621760368347168
2010-02-25,20.506010055541992,16.197813034057617,11.381718635559082,1.6580326557159424,48.06401062011719,44.49697494506836,8.358414649963379,13.584742546081545
